productcode,Available Size,,,,,,,,,,,,
220952,"
7.5
 
8.0
 
8.5
 
9.0
 
9.5
 
10.0
 
10.5
 
11.0
 
11.5
 
12.0
 
13.0
",,,,,,,,,,,,
220347,"
7.5
 
8.0
 
8.5
 
9.0
 
9.5
",,,,,,,,,,,,
220839,"
7.0
 
7.5
 
8.0
 
8.5
 
9.0
 
9.5
 
10.0
 
10.5
 
11.0
 
11.5
 
12.0
 
13.0
",,,,,,,,,,,,
220313,"
7.5
 
8.0
 
8.5
 
9.0
 
9.5
 
10.0
 
10.5
 
11.0
 
11.5
 
12.0
 
13.0
",,,,,,,,,,,,
220389,"
7.5
 
8.0
 
8.5
 
9.0
 
9.5
 
10.0
 
10.5
 
11.0
 
11.5
 
12.0
 
13.0
",,,,,,,,,,,,
220909,"
7.0
 
7.5
 
8.0
 
8.5
 
9.0
 
9.5
 
10.0
 
10.5
 
11.0
 
11.5
 
12.0
 
13.0
",,,,,,,,,,,,
232462,"
7.5
 
8.0
 
8.5
 
9.0
 
9.5
 
10.0
 
10.5
 
11.0
 
11.5
 
12.0
 
13.0
 
14.0
",,,,,,,,,,,,
216601,"
8.5
 
9.0
 
9.5
 
10.0
 
10.5
 
11.0
 
11.5
 
12.0
 
13.0
",,,,,,,,,,,,
216258,"
7.5
 
8.0
 
8.5
 
9.0
 
9.5
 
10.0
 
10.5
 
11.0
 
12.0
 
13.0
",,,,,,,,,,,,
216259,"
7.5
 
8.0
 
8.5
 
9.5
 
10.0
 
10.5
 
11.0
 
11.5
 
12.0
 
13.0
",,,,,,,,,,,,
216602,"
7.0
 
7.5
 
8.0
 
8.5
 
9.0
 
9.5
 
10.0
 
10.5
 
11.0
 
11.5
 
12.0
 
13.0
 
14.0
",,,,,,,,,,,,
216600,"
8.0
 
8.5
 
9.0
 
9.5
 
10.0
 
10.5
 
11.0
 
12.0
",,,,,,,,,,,,
210811,"
7.5
 
8.0
 
8.5
 
9.5
 
10.0
",,,,,,,,,,,,
210803,"
7.0
 
7.5
 
8.0
 
8.5
 
9.5
 
10.5
 
11.5
 
12.0
",,,,,,,,,,,,
204866,"
7.5
 
8.0
 
8.5
 
9.0
 
9.5
 
10.0
 
11.0
 
12.0
 
13.0
",,,,,,,,,,,,
204810,"
7.0
 
8.0
 
9.0
 
9.5
 
10.0
 
10.5
 
11.0
 
11.5
 
12.0
 
13.0
 
14.0
",,,,,,,,,,,,
204847,"
7.5
",,,,,,,,,,,,
205188,"
7.5
 
8.0
 
8.5
",,,,,,,,,,,,
