No of Size,review,Rating,productcode,,
11,2,5,220952,,2
5,No,4.4,220347,,
12,2,4.7,220839,,
11,184,4.3,220313,,
11,496,3.1,220389,,
12,0,4.1,220909,,
12,42,3.1,232462,,
9,34,5,216601,,
10,195,3.7,216258,,
10,167,4.2,216259,,
13,0,4.2,216602,,
8,0,3.2,216600,,
5,1,5,210811,,
8,19,4.5,210803,,
9,324,4.1,204866,,
11,105,5,204810,,
1,30,4.9,204847,,
3,0,4.5,205188,,
3,3,5,205073,,
8,5,4.2,205082,,
10,9,3.9,205074,,
3,13,3.2,205059,,
10,1,4.5,205056,,
9,118,4.2,210606,,
1,0,3.7,186001,,
4,304,5,117500,,
2,1,4.9,117504,,
10,966,4.8,149710,,
9,12,5,150174,,
11,0,4.4,150182,,
10,501,4.6,149709,,
11,211,5,149708,,
7,12,3.5,149808,,
10,948,5,149937,,
10,20,4.3,150123,,
10,No,5,158911,,
13,550,3.8,124963,,
3,0,3.9,124835,,
11,8,4.8,124836,,
10,0,5,125228,,
9,1,5,125222,,
12,0,3.6,125219,,
11,0,5,125209,,
10,0,3.3,125234,,
10,114,5,124566,,
11,309,4.3,124569,,
6,111,4.7,124568,,
11,0,5,124799,,
13,0,0,FZ5052-131,,
13,3,4.7,DH0956-002,,
20,1322,4.8,CW2288-111,,
12,0,0,HF5258-102,,
13,96,4.4,DA6364-110,,
13,0,0,FJ4195-100,,
13,72,4.6,432997-111,,
18,33,4.2,DH7505-101,,
13,0,0,FJ4170-002,,
13,12,4.3,FD5810-002,,
13,0,0,FZ4627-400,,
13,0,0,FQ8738-010,,
13,28,4.8,DZ3306-400,,
12,19,4.9,DC7695-403,,
12,780,4.5,AH8050-107,,
13,8,4.9,FB9658-400,,
12,37,4.8,CD7069-106,,
13,448,4.9,DQ8426-006,,
13,186,4.7,CD5463-102,,
17,0,0,FQ8075-133,,
1,39,4.2,FQ8080-133,,
13,110,4.7,DH2987-001,,
12,3,3,FB8501-100,,
15,111,4.9,DZ4475-041,,
12,119,4.6,DX5883-100,,
11,883,4.7,DD8959-600,,
11,5,5,DZ1847-104,,
11,0,0,FZ5066-111,,
11,0,0,DO7449-111,,
11,110,4.2,DH3161-108,,
9,174,4.5,DJ0292-113,,
11,0,0,FZ3597-133,,
10,1,5,FZ5630-102,,
9,0,0,FZ5163-133,,
12,119,4.6,DX5883-100,,
11,883,4.7,DD8959-600,,
11,5,5,DZ1847-104,,
1,0,0,FZ5066-111,,
11,0,0,DO7449-111,,
11,110,4.2,DH3161-108,,
9,174,4.5,DJ0292-113,,
11,0,0,FZ3597-133,,
10,1,5,FZ5630-102,,
9,0,0,FZ5163-133,,
9,2,4.5,DZ3670-001,,
11,39,4.4,DN1791-105,,
9,1,4,DZ1637-103,,
11,13,4.9,DV3808-001,,
15,3,3.335,379330_01,,
18,446,4.04,374915_01,,
18,446,4.04,374915_02,,
15,446,4.04,374915_12,,
18,446,4.04,374915_04,,
18,446,4.04,374915_07,,
18,446,4.04,374915_06,,
